#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 16.688  0.000 13.725 15.467  0.000 17.231 17.150   -inf 11.016 
0.010 16.501  0.000 13.394 15.190  0.000 17.010 17.013   -inf 10.725 
0.020 16.351  0.000 13.109 14.987  0.000 16.826 16.896   -inf 10.229 
0.030 16.235  0.000 12.825 14.761  0.000 16.696 16.791   -inf  9.903 
0.040 16.180  0.000 12.732 14.694  0.000 16.644 16.746   -inf  9.802 
0.050 16.091  0.000 12.660 14.610  0.000 16.545 16.671   -inf  9.739 
0.060 16.050  0.000 12.585 14.553  0.000 16.497 16.619   -inf  9.682 
0.070 15.997  0.000 12.529 14.475  0.000 16.426 16.561   -inf  9.637 
0.080 15.946  0.000 12.492 14.415  0.000 16.377 16.523   -inf  9.605 
0.090 15.891  0.000 12.451 14.375  0.000 16.317 16.455   -inf  9.569 
0.100 15.835  0.000 12.414 14.311  0.000 16.248 16.396   -inf  9.536 
0.110 15.779  0.000 12.375 14.247  0.000 16.178 16.344   -inf  9.515 
0.120 15.733  0.000 12.328 14.193  0.000 16.124 16.320   -inf  9.474 
0.130 15.704  0.000 12.274 14.125  0.000 16.103 16.299   -inf  9.398 
0.140 15.691  0.000 12.169 14.093  0.000 16.089 16.289   -inf  9.311 
0.150 15.676  0.000 12.096 14.059  0.000 16.064 16.269   -inf  9.237 
0.160 15.659  0.000 12.011 14.029  0.000 16.049 16.253   -inf  9.047 
0.170 15.644  0.000 11.960 13.994  0.000 16.033 16.242   -inf  8.935 
0.180 15.633  0.000 11.884 13.978  0.000 16.018 16.224   -inf  8.857 
0.190 15.616  0.000 11.863 13.959  0.000 16.000 16.204   -inf  8.798 
0.200 15.599  0.000 11.835 13.946  0.000 15.985 16.189   -inf  8.777 
0.210 15.580  0.000 11.810 13.924  0.000 15.962 16.175   -inf  8.749 
0.220 15.566  0.000 11.797 13.905  0.000 15.945 16.162   -inf  8.724 
0.230 15.554  0.000 11.782 13.887  0.000 15.927 16.146   -inf  8.701 
0.240 15.533  0.000 11.763 13.873  0.000 15.905 16.127   -inf  8.682 
0.250 15.515  0.000 11.740 13.856  0.000 15.892 16.109   -inf  8.653 
0.260 15.503  0.000 11.719 13.838  0.000 15.879 16.091   -inf  8.633 
0.270 15.480  0.000 11.699 13.819  0.000 15.859 16.080   -inf  8.598 
0.280 15.460  0.000 11.687 13.800  0.000 15.839 16.060   -inf  8.578 
0.290 15.446  0.000 11.664 13.779  0.000 15.816 16.043   -inf  8.563 
0.300 15.426  0.000 11.648 13.765  0.000 15.798 16.017   -inf  8.542 
0.310 15.401  0.000 11.625 13.728  0.000 15.781 15.990   -inf  8.512 
0.320 15.378  0.000 11.609 13.713  0.000 15.756 15.968   -inf  8.489 
0.330 15.361  0.000 11.577 13.691  0.000 15.735 15.946   -inf  8.457 
0.340 15.341  0.000 11.565 13.655  0.000 15.705 15.922   -inf  8.442 
0.350 15.312  0.000 11.538 13.631  0.000 15.685 15.898   -inf  8.423 
0.360 15.287  0.000 11.519 13.606  0.000 15.659 15.871   -inf  8.385 
0.370 15.256  0.000 11.498 13.585  0.000 15.626 15.834   -inf  8.348 
0.380 15.229  0.000 11.465 13.559  0.000 15.593 15.816   -inf  8.308 
0.390 15.208  0.000 11.433 13.530  0.000 15.572 15.793   -inf  8.271 
0.400 15.175  0.000 11.399 13.502  0.000 15.530 15.768   -inf  8.252 
0.410 15.153  0.000 11.376 13.488  0.000 15.514 15.741   -inf  8.221 
0.420 15.131  0.000 11.344 13.459  0.000 15.491 15.731   -inf  8.193 
0.430 15.121  0.000 11.292 13.433  0.000 15.471 15.710   -inf  8.161 
0.440 15.101  0.000 11.257 13.414  0.000 15.455 15.695   -inf  8.098 
0.450 15.076  0.000 11.223 13.386  0.000 15.433 15.667   -inf  8.053 
0.460 15.054  0.000 11.185 13.357  0.000 15.407 15.637   -inf  8.023 
0.470 15.037  0.000 11.146 13.326  0.000 15.382 15.619   -inf  7.962 
0.480 14.998  0.000 11.125 13.289  0.000 15.365 15.581   -inf  7.929 
0.490 14.962  0.000 11.083 13.240  0.000 15.325 15.550   -inf  7.906 
0.500 14.941  0.000 11.040 13.205  0.000 15.293 15.511   -inf  7.867 
0.510 14.917  0.000 11.008 13.178  0.000 15.270 15.483   -inf  7.810 
0.520 14.882  0.000 10.975 13.140  0.000 15.243 15.451   -inf  7.768 
0.530 14.849  0.000 10.905 13.105  0.000 15.193 15.426   -inf  7.717 
0.540 14.822  0.000 10.873 13.044  0.000 15.144 15.399   -inf  7.679 
0.550 14.795  0.000 10.843 13.008  0.000 15.107 15.378   -inf  7.613 
0.560 14.763  0.000 10.790 12.979  0.000 15.069 15.355   -inf  7.563 
0.570 14.740  0.000 10.742 12.941  0.000 15.039 15.326   -inf  7.507 
0.580 14.700  0.000 10.702 12.883  0.000 14.999 15.294   -inf  7.446 
0.590 14.668  0.000 10.638 12.865  0.000 14.963 15.241   -inf  7.376 
0.600 14.630  0.000 10.586 12.806  0.000 14.936 15.207   -inf  7.310 
0.610 14.602  0.000 10.529 12.753  0.000 14.909 15.186   -inf  7.216 
0.620 14.581  0.000 10.459 12.715  0.000 14.864 15.164   -inf  7.145 
0.630 14.567  0.000 10.386 12.682  0.000 14.819 15.153   -inf  7.076 
0.640 14.519  0.000 10.350 12.649  0.000 14.776 15.113   -inf  7.024 
0.650 14.493  0.000 10.310 12.581  0.000 14.746 15.070   -inf  6.940 
0.660 14.462  0.000 10.275 12.548  0.000 14.708 15.052   -inf  6.898 
0.670 14.436  0.000 10.218 12.504  0.000 14.678 15.021   -inf  6.844 
0.680 14.406  0.000 10.184 12.466  0.000 14.651 14.983   -inf  6.783 
0.690 14.372  0.000 10.106 12.422  0.000 14.616 14.958   -inf  6.671 
0.700 14.353  0.000 10.058 12.389  0.000 14.587 14.932   -inf  6.596 
0.710 14.318  0.000 10.018 12.352  0.000 14.544 14.903   -inf  6.536 
0.720 14.283  0.000  9.971 12.312  0.000 14.509 14.865   -inf  6.490 
0.730 14.256  0.000  9.909 12.259  0.000 14.477 14.838   -inf  6.424 
0.740 14.197  0.000  9.860 12.223  0.000 14.429 14.773   -inf  6.296 
0.750 14.160  0.000  9.824 12.181  0.000 14.393 14.745   -inf  6.189 
0.760 14.132  0.000  9.785 12.152  0.000 14.358 14.714   -inf  6.053 
0.770 14.076  0.000  9.741 12.108  0.000 14.316 14.656   -inf  5.968 
0.780 14.037  0.000  9.709 12.073  0.000 14.258 14.620   -inf  5.868 
0.790 13.999  0.000  9.672 12.037  0.000 14.224 14.575   -inf  5.764 
0.800 13.975  0.000  9.629 11.964  0.000 14.188 14.560   -inf  5.628 
0.810 13.945  0.000  9.542 11.926  0.000 14.141 14.519   -inf  5.524 
0.820 13.898  0.000  9.485 11.882  0.000 14.109 14.475   -inf  5.400 
0.830 13.869  0.000  9.435 11.819  0.000 14.050 14.452   -inf  5.264 
0.840 13.818  0.000  9.357 11.775  0.000 14.004 14.394   -inf  5.121 
0.850 13.773  0.000  9.304 11.734  0.000 13.961 14.347   -inf  4.950 
0.860 13.721  0.000  9.228 11.672  0.000 13.910 14.285   -inf  4.716 
0.870 13.663  0.000  9.159 11.573  0.000 13.837 14.233   -inf  4.309 
0.880 13.627  0.000  9.090 11.498  0.000 13.757 14.191   -inf   -inf 
0.890 13.595  0.000  9.015 11.443  0.000 13.717 14.161   -inf   -inf 
0.900 13.522  0.000  8.923 11.391  0.000 13.665 14.081   -inf   -inf 
0.910 13.447  0.000  8.850 11.314  0.000 13.561 13.985   -inf   -inf 
0.920 13.369  0.000  8.693 11.199  0.000 13.468 13.920   -inf   -inf 
0.930 13.297  0.000  8.588 11.085  0.000 13.383 13.838   -inf   -inf 
0.940 13.206  0.000  8.488 11.024  0.000 13.307 13.769   -inf   -inf 
0.950 13.131  0.000  8.380 10.906  0.000 13.223 13.679   -inf   -inf 
0.960 13.028  0.000  8.235 10.762  0.000 13.105 13.565   -inf   -inf 
0.970 12.939  0.000  8.120 10.659  0.000 12.963 13.454   -inf   -inf 
0.980 12.867  0.000  7.950 10.519  0.000 12.855 13.370   -inf   -inf 
0.990 12.749  0.000  7.765 10.370  0.000 12.749 13.271   -inf   -inf 
1.000 12.623  0.000  7.606 10.220  0.000 12.600 13.125   -inf   -inf 
