#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.770 15.075  0.000 12.836 14.214  0.000 15.650 14.979   -inf 10.375 
0.780 15.036  0.000 12.802 14.163  0.000 15.600 14.922   -inf 10.337 
0.790 14.998  0.000 12.762 14.119  0.000 15.575 14.894   -inf 10.306 
0.800 14.974  0.000 12.696 14.097  0.000 15.546 14.862   -inf 10.262 
0.810 14.944  0.000 12.657 14.066  0.000 15.503 14.816   -inf 10.184 
0.820 14.898  0.000 12.603 14.021  0.000 15.479 14.780   -inf 10.124 
0.830 14.868  0.000 12.538 13.974  0.000 15.443 14.747   -inf 10.063 
0.840 14.818  0.000 12.497 13.928  0.000 15.411 14.717   -inf  9.987 
0.850 14.771  0.000 12.459 13.877  0.000 15.348 14.690   -inf  9.941 
0.860 14.720  0.000 12.395 13.828  0.000 15.291 14.653   -inf  9.845 
0.870 14.662  0.000 12.303 13.767  0.000 15.242 14.608   -inf  9.795 
0.880 14.626  0.000 12.218 13.703  0.000 15.210 14.579   -inf  9.713 
0.890 14.594  0.000 12.162 13.654  0.000 15.181 14.550   -inf  9.644 
0.900 14.521  0.000 12.107 13.587  0.000 15.112 14.532   -inf  9.560 
0.910 14.446  0.000 12.027 13.492  0.000 15.037 14.484   -inf  9.474 
0.920 14.368  0.000 11.916 13.419  0.000 14.956 14.438   -inf  9.332 
0.930 14.297  0.000 11.801 13.323  0.000 14.870 14.359   -inf  9.213 
0.940 14.205  0.000 11.730 13.261  0.000 14.802 14.283   -inf  9.117 
0.950 14.130  0.000 11.624 13.206  0.000 14.727 14.228   -inf  9.017 
0.960 14.026  0.000 11.471 13.038  0.000 14.594 14.160   -inf  8.833 
0.970 13.939  0.000 11.381 12.934  0.000 14.527 14.080   -inf  8.748 
0.980 13.867  0.000 11.212 12.843  0.000 14.461 14.006   -inf  8.583 
0.990 13.747  0.000 11.103 12.730  0.000 14.343 13.956   -inf  8.362 
1.000 13.622  0.000 10.944 12.549  0.000 14.216 13.828   -inf  8.231 
