#M_c    T_eq      t75   r75   v75   n75  Rc75   Lc75   t50   r50   v50   n50  Rc50   Lc50 v_shock
1.0e+05 1.0e+04  15.0  15.1  28.8  0.50  56.9  968.3  24.0  23.9  45.3  0.37  46.4 1303.8  73.6
1.0e+05 1.0e+03  31.8  32.3   8.2  4.24  20.6  411.6  55.9  56.8  14.4  3.30  16.8  529.1  16.1
1.0e+05 1.0e+02  55.0  56.2   3.1 38.58   9.6  209.9 125.3 127.6   7.0 32.88   7.8  246.4   5.1
1.0e+04 1.0e+04   4.1   4.2  17.4  0.73  26.4  304.8   6.7   6.8  27.9  0.51  21.6  439.4  73.6
1.0e+04 1.0e+03  11.7  11.9   6.5  4.95   9.6  163.7  20.0  20.3  11.1  3.59   7.8  225.4  16.1
1.0e+04 1.0e+02  24.4  24.9   2.9 39.56   4.4   95.0  47.5  48.4   5.7 32.88   3.6  114.4   5.1
1.0e+03 1.0e+04   1.3   1.3  11.4  1.03  12.3  101.0   2.2   2.2  19.9  0.66  10.0  157.1  73.6
1.0e+03 1.0e+03   3.8   3.9   4.6  6.41   4.4   58.6   6.8   6.9   8.2  4.25   3.6   88.4  16.1
1.0e+03 1.0e+02   9.9  10.1   2.6 42.76   2.1   40.8  18.1  18.5   4.7 33.05   1.7   52.8   5.1
