#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Lmax
0	x300v1000	1.72	57.7	3.2	0.80	 5.6	 8.8	11.7	21.0	32.8	43.1	 723
1	x300v1700	1.01	98.1	4.2	0.80	 3.2	 5.0	 6.5	10.2	16.1	21.0	 442
2	x1000v1700	1.85	53.8	3.0	0.80	 0.7	 1.3	 1.8	 2.6	 4.9	 7.2	 177
3	x3000v3000	1.81	54.8	3.1	0.80	 0.1	 0.1	 0.2	 0.2	 0.4	 0.6	 132
4	x300v3000	0.57	173.2	5.4	0.80	 1.1	 1.9	 2.5	 3.0	 5.1	 6.7	 178
5	x300v3000b	0.57	173.2	5.4	0.80	 5.3	 8.0	10.1	14.2	21.3	26.8	 566
6	x1000v480	6.54	15.2	0.7	0.80	 0.4	 0.9	 1.3	 2.7	 5.3	 7.9	 298
7	x3000v860	6.32	15.7	0.7	0.80	 0.0	 0.1	 0.1	 0.2	 0.4	 0.6	 283
8	x300v1700c5	1.01	98.1	4.2	0.80	 8.8	13.8	18.1	28.4	43.9	57.2	 801
9	x300v1700c20	1.01	98.1	4.2	0.80	21.3	34.3	46.9	66.8	105.0	140.6	1229
