#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Group
0	x300v1000	1.72	57.7	0.9	0.90	 9.1	17.8	23.6	34.5	65.6	85.1	0
1	x300v1700	1.01	98.1	3.6	0.90	 6.1	 9.2	11.6	20.0	30.1	37.9	0
2	x1000v1700	1.85	53.8	0.6	0.90	 1.1	 2.1	 3.1	 4.6	 8.6	12.3	0
3	x3000v3000	1.81	54.8	0.7	0.90	 0.1	 0.2	 0.2	 0.3	 0.7	 1.0	0
4	x300v3000	0.57	173.2	5.4	0.90	 2.8	 4.4	 5.6	 7.7	11.9	15.2	0
5	x300v3000b	0.57	173.2	5.4	0.90	11.2	16.4	20.5	30.3	44.2	54.9	0
6	x1000v480	6.54	15.2	-2.0	0.90	 0.4	 0.8	 1.2	 2.5	 4.9	 7.3	
