#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Group
0	x300v1000	1.72	57.7	0.9	0.80	 8.7	14.0	18.4	32.3	51.3	66.1	0
1	x300v1700	1.01	98.1	3.6	0.80	 3.3	 5.2	 6.7	10.8	16.8	21.6	0
2	x1000v1700	1.85	53.8	0.6	0.80	 1.3	 2.3	 3.1	 1.5	 2.6	 3.7	0
3	x3000v3000	1.81	54.8	0.7	0.80	 0.1	 0.3	 0.4	 0.1	 0.1	 0.2	0
4	x300v3000	0.57	173.2	5.4	0.80	 1.3	 2.1	 2.7	 2.1	 3.3	 4.3	0
5	x300v3000b	0.57	173.2	5.4	0.80	 5.4	 8.0	10.1	14.2	21.3	26.8	0
6	x300v1700c5	1.01	98.1	3.6	0.80	 9.0	13.5	17.0	29.1	43.1	53.9	0
7	x300v1700c20	1.01	98.1	3.6	0.80	20.0	29.9	39.8	63.0	92.3	120.8	0
8	x1000v480	6.54	15.2	-2.0	0.80	 0.9	 1.8	 2.7	 1.4	 2.8	 4.2	0
9	x3000v860	6.32	15.7	-1.9	0.80	 0.1	 0.2	 0.3	 0.1	 0.1	 0.2	0
