#M_c    T_eq      t75   r75   v75   n75  Rc75   Lc75   t50   r50   v50   n50  Rc50   Lc50 v_shock
1.0e+05 1.0e+04  14.8  14.7  53.4  3.15  29.1  585.1  34.4  33.0 115.4  3.07  23.7  601.3  63.8
1.0e+05 1.0e+03  17.4  17.7   8.7 36.77  10.5  182.0  41.6  42.0  20.5 31.77   8.6  210.6  13.9
1.0e+05 1.0e+02  25.5  26.1   2.8 367.82   4.9   84.4  61.4  62.6   6.6 319.74   4.0   97.1   4.4
1.0e+04 1.0e+04   6.9   6.8  53.4  3.15  13.5  271.6  16.0  15.3 115.4  3.07  11.0  279.1  63.8
1.0e+04 1.0e+03   8.1   8.2   8.7 36.77   4.9   84.5  19.3  19.5  20.5 31.77   4.0   97.8  13.9
1.0e+04 1.0e+02  11.9  12.1   2.8 367.82   2.3   39.2  28.5  29.0   6.6 319.74   1.9   45.1   4.4
1.0e+03 1.0e+04   3.2   3.2  53.4  3.15   6.3  126.1   7.4   7.1 115.4  3.07   5.1  129.5  63.8
1.0e+03 1.0e+03   3.7   3.8   8.7 36.77   2.3   39.2   9.0   9.1  20.5 31.77   1.9   45.4  13.9
1.0e+03 1.0e+02   5.5   5.6   2.8 367.82   1.1   18.2  13.2  13.5   6.6 319.74   0.9   20.9   4.4
