#M_c    T_eq      t75   r75   v75   n75  Rc75   Lc75   t50   r50   v50   n50  Rc50   Lc50 v_shock
1.0e+05 1.0e+04   2.1   5.3   9.7  0.62  62.2  643.6   4.9  12.3  22.0  0.31  50.8 1313.4 111.3
1.0e+05 1.0e+03   9.1  26.0   6.2  2.51  22.6  579.8  20.1  57.2  13.6  1.41  18.4 1032.8  24.3
1.0e+05 1.0e+02  18.8  78.8   4.0 14.74  10.5  458.9  40.3 168.6   8.6 11.49   8.6  588.8   7.7
1.0e+04 1.0e+04   1.6   1.8   7.1  0.81  28.9  229.5   3.6   4.2  16.1  0.40  23.6  465.3 111.3
1.0e+04 1.0e+03   6.6   8.8   4.5  3.27  10.5  206.9  14.4  19.1   9.8  1.76   8.6  384.1  24.3
1.0e+04 1.0e+02  14.0  27.2   3.0 18.03   4.9  174.1  28.3  55.0   6.1 12.00   4.0  261.5   7.7
1.0e+03 1.0e+04   1.2   0.6   5.2  1.04  13.4   83.3   2.6   1.4  11.8  0.52  10.9  165.2 111.3
1.0e+03 1.0e+03   4.8   3.0   3.3  4.28   4.9   73.3  10.3   6.4   7.0  2.27   4.0  138.4  24.3
1.0e+03 1.0e+02  10.1   9.1   2.2 23.13   2.3   63.0  20.3  18.4   4.4 14.05   1.8  103.7   7.7
